id,lat,lon,height,name,state
1666,54.8273,9.5057,27,Glücksburg-Meierwik,Schleswig-Holstein
1667,53.797,9.4295,1,Glückstadt,Schleswig-Holstein
1669,53.8083,12.9678,40,Borrentin-Wolkwitz,Mecklenburg-Vorpommern
1684,51.1622,14.9506,238,Görlitz,Sachsen
1689,49.7656,11.3061,443,Gößweinstein,Bayern
1691,51.5003,9.9506,167,Göttingen,Niedersachsen
1694,53.606,12.1033,58,Goldberg,Mecklenburg-Vorpommern
1701,53.046,11.3608,21,Gorleben,Niedersachsen
1721,49.664,11.2239,506,Gräfenberg-Kasberg,Bayern
1735,48.7893,13.6291,628,Grainet-Rehberg,Bayern
1736,53.5731,10.6797,27,Grambek,Schleswig-Holstein
1748,50.4788,9.262,608,Grebenhain-Herchenhain,Hessen
1757,54.0967,13.4056,2,Greifswald,Mecklenburg-Vorpommern
1758,54.1,13.45,2,Greifswald-Wieck,Mecklenburg-Vorpommern
1759,54.2437,13.9102,12,Greifswalder Oie,Mecklenburg-Vorpommern
1761,50.65,12.2,284,Greiz,Thüringen
1762,50.6249,12.1777,270,Greiz-Dölau,Thüringen
1766,52.1344,7.6969,48,Münster/Osnabrück,Nordrhein-Westfalen
1803,54.0714,12.3238,34,Groß Lüsewitz,Mecklenburg-Vorpommern
1831,49.1126,13.1353,1449,Großer Arber (Ost),Bayern
1832,49.113,13.1342,1436,Großer Arber,Bayern
1833,49.0851,13.2801,1307,Grosser Falkenstein,Bayern
1834,50.8519,10.4665,913,Grosser Inselsberg,Thüringen
1844,47.941,11.9,517,Feldkirchen-Westerham-Lenzmühle,Bayern
1849,48.8126,11.5728,408,Großmehring-Theißing,Bayern
1863,50.2667,9.1854,258,Gründau-Breitenborn,Hessen
1869,53.3153,13.9338,56,Grünow,Brandenburg
1875,48.9354,9.7364,492,"Gschwend, Kr. Ostalb",Baden-Württemberg
1886,48.4878,10.2607,444,Günzburg,Bayern
1890,53.7667,12.2167,30,Güstrow-Schabernack,Mecklenburg-Vorpommern
1891,51.8771,8.3577,73,Rheda-Wiedenbrück-Lintel,Nordrhein-Westfalen
1920,51.4129,7.4895,100,Hagen-Fley,Nordrhein-Westfalen
1957,51.5138,11.9499,93,Halle-Kröllwitz,Sachsen-Anhalt
1960,51.4831,11.9671,102,Halle (Stadt),Sachsen-Anhalt
