geoBreite;eoLaenge
48.1252;9.7639
50.9275;8.4935
49.8747;9.4883
51.6333;12.3167
50.6738;11.2805
50.0372;7.3079
50.9041;11.7985
51.8380;6.6107
51.8293;6.5365
51.4789;7.2697
48.6759;8.9732
48.9451;11.3667
51.7520;9.3953
53.3911;10.6878
53.8634;9.7344
54.0028;11.1908
50.7285;7.0839
50.7055;7.1467
50.6983;7.0356
50.7349;7.1931
48.0791;10.1977
51.5709;9.3120
51.8728;6.8862
53.5788;6.6703
53.3517;8.4969
53.2960;8.4529
52.4036;7.9724
53.8551;9.7152
52.4136;12.5503
49.5353;10.7706
51.7234;10.6021
52.2744;10.5656
52.2708;10.5334
52.2914;10.4465
49.9017;9.4281
53.0450;8.7979
53.1004;8.7834
53.5332;8.5761
53.5876;8.6015
53.4779;9.1553
53.4451;9.1390
53.5312;9.1664
47.8858;7.6611
49.0250;8.6991
51.3873;8.5737
51.7986;10.6183
49.7345;8.9557
50.8282;10.4540
49.6303;7.1148
50.3080;9.7835
49.5182;9.3213
47.9625;7.9983
53.3635;9.9434
50.1746;7.0595
52.2817;9.0889
50.2769;9.1167
48.6957;8.1744
48.6743;8.1799
49.6620;7.1098
49.7450;10.6434
51.0306;8.8146
50.6897;13.4969
50.4313;12.6114
52.6146;10.0726
52.5959;10.0296
49.2504;12.6040
50.7913;12.8720
47.8843;12.5404
51.7904;10.3470
52.8441;8.0624
50.3067;10.9680
51.3000;13.0167
51.7667;14.2833
51.7760;14.3168
49.0985;10.0979
50.8149;12.3821
53.8713;8.7058
51.0778;10.8619
49.8809;8.6779
49.8453;8.6240
49.8697;8.6796
47.8007;9.4108
51.8512;12.2515
49.7619;7.0541
54.1667;7.4500
52.5881;8.3424
50.0832;6.8904
51.2401;13.4166
49.4158;10.6734
50.7364;8.2672
48.5701;10.4985
48.5562;10.5599
50.9117;13.7087
54.1442;11.8454
51.6451;13.5747
51.1333;13.1167
53.1399;11.2544
47.9422;8.5046
51.5120;7.5345
51.0557;13.7274
51.1280;13.7543
51.0221;13.8470
51.0240;13.7737
52.2174;12.1641
51.5040;10.2613
49.4719;8.1929
49.4686;8.1797
51.3043;12.0810
51.2960;6.7686
51.1998;6.7574
51.3940;6.7026
51.4634;6.7321
51.2806;10.7362
49.4600;8.9584
48.7201;9.5328
48.1002;11.9872
52.8239;13.7979
49.8520;10.4990
54.6282;9.3648
48.6593;8.9121
48.3416;12.8820
48.8777;11.2349
47.6288;7.5959
51.8189;9.8871
51.5029;11.5705
54.0000;8.1167
50.7041;10.8576
48.9895;10.1312
54.0691;9.0106
50.9281;6.5646
53.2346;8.4612
50.2705;12.2742
48.2012;8.1089
53.3449;7.1909
53.3707;7.2236
48.1378;7.8351
54.1651;6.3460
50.3324;7.6975
50.9884;7.4250
47.8516;8.7673
48.4734;9.3028
51.8418;8.0607
49.1307;8.9165
49.1664;8.8523
48.3477;11.8133
54.2992;9.3162
50.9829;10.9608
48.3008;13.1398
47.6358;9.5392
49.6497;11.0074
49.5692;10.9929
49.8589;9.2861
49.7522;11.8222
51.2041;10.0138
53.6476;7.6085
51.2540;8.1565
51.4041;6.9677
50.7119;6.7910
54.1340;10.5865
48.4832;12.7240
52.9157;10.1885
54.6000;11.1500
53.3346;13.4371
47.8749;8.0038
49.9807;11.8376
50.4283;12.9535
50.5049;10.1671
54.8086;9.4182
54.7737;9.3752
54.8147;9.4580
49.7317;12.3491
50.0616;9.4550
51.3512;11.0958
50.5309;10.0480
50.0259;8.5213
50.1474;8.6746
50.1269;8.6694
50.1213;8.6601
52.3397;14.5080
49.2275;8.0585
48.2018;7.9336
50.9263;13.2711
48.0233;7.8344
48.0130;7.8588
53.8277;9.2493
48.4537;8.4091
49.1780;11.3735
51.6884;11.0394
47.6454;9.4795
47.7819;7.7348
53.0643;7.9022
51.1190;9.2799
50.6588;8.1027
48.2000;11.2667
49.4811;10.9640
50.5335;9.6750
52.5129;11.3941
47.4831;11.0623
53.2066;14.3817
49.9859;7.9549
50.7719;13.7732
47.9242;8.6473
47.8774;12.6279
48.9481;11.4289
51.4943;6.2463
50.2027;9.1989
48.4329;7.9931
52.3875;12.1601
50.8813;12.1289
51.7259;11.1317
49.7611;8.4876
50.2766;9.9146
50.5910;8.6551
50.6017;8.6439
50.9656;9.0500
54.8273;9.5057
53.7970;9.4295
51.1622;14.9506
49.7656;11.3061
51.5003;9.9506
53.6060;12.1033
49.6640;11.2239
48.7893;13.6291
53.5731;10.6797
50.4788;9.2620
54.0967;13.4056
54.1000;13.4500
54.2437;13.9102
50.6500;12.2000
50.6249;12.1777
52.1344;7.6969
54.0714;12.3238
49.1130;13.1342
49.0851;13.2801
50.8519;10.4665
47.9410;11.9000
48.8126;11.5728
50.2667;9.1854
53.3153;13.9338
48.9354;9.7364
53.7667;12.2167
51.8771;8.3577
51.4129;7.4895
51.5138;11.9499
51.4831;11.9671
49.9445;6.3821
53.4793;10.2415
53.5598;9.9874
53.6332;9.9881
53.4213;10.1462
53.4777;9.8957
53.4699;10.1804
53.5467;9.9662
53.5853;10.1293
52.0848;9.3896
50.1205;8.9243
52.7199;10.5987
52.4644;9.6779
48.7918;10.7062
51.9000;10.5701
51.6520;11.1367
53.6342;9.6038
51.6868;10.8631
48.8629;13.0670
48.3751;8.9801
54.2181;9.0853
49.4206;8.6676
49.3981;8.7251
49.4192;8.6051
48.6765;10.1307
50.1691;7.9949
49.1448;9.2333
51.0411;6.1042
54.1750;7.8920
52.2164;11.0219
53.9701;9.0095
52.1264;8.6865
51.0048;10.1705
48.5915;8.8541
50.8444;10.6904
51.0167;14.7500
49.7672;7.3356
50.8519;9.7378
51.5890;7.1548
51.6255;10.3695
49.9281;9.2870
54.5750;13.1044
52.1408;9.8838
50.7371;7.6528
50.3674;10.5687
50.9167;14.3667
50.4707;10.9106
47.8983;8.1055
49.1279;12.8645
50.8990;14.7457
50.3230;11.9077
50.3122;11.8761
51.5337;9.4786
50.1352;10.5156
52.6667;12.3333
47.8009;11.0108
50.9632;11.4847
54.3146;9.5390
54.3194;10.6732
51.7657;13.1666
50.2182;7.9133
47.8823;11.6962
51.8539;9.4953
51.7659;9.5447
50.7316;9.0032
49.3283;7.3561
52.3333;7.5500
50.1511;11.6980
48.6136;8.2034
51.4379;14.2426
48.6018;11.6769
50.5652;7.4839
54.4752;9.0564
49.6927;7.3264
48.0419;7.6322
51.8667;10.6833
49.2967;9.6520
48.7662;11.4539
48.7112;11.5362
48.1644;12.0307
51.3768;7.7644
53.9897;9.5696
54.4550;9.5194
50.9251;11.5830
51.7954;12.9583
53.5322;7.8806
53.5316;9.6752
50.9104;6.4093
52.0006;13.1022
50.0643;8.9930
51.1803;8.4891
48.9171;9.6872
49.4262;7.7557
48.7701;10.7876
51.7329;6.2688
50.5016;6.5262
51.3176;10.1355
50.6266;10.1455
51.2667;14.0833
48.6765;11.2961
49.0382;8.3641
51.2963;9.4424
51.3340;9.4506
47.8652;10.6007
48.0916;10.8609
48.5576;7.8800
47.7233;10.3348
54.3761;10.1433
54.3378;10.0929
49.1804;9.9800
53.9995;11.4341
50.2241;10.0792
49.7363;10.1781
50.2218;8.4469
53.9587;10.3293
50.8458;10.4803
52.4036;13.2319
51.5554;13.8846
51.7612;6.0954
48.1054;8.7549
51.5185;12.9065
49.0265;8.7554
50.3369;7.5992
50.9615;6.9712
